ID đơn hàng,ID sản phẩm,Tên sản phẩm,Id Sku,Giá,Payment Amount,Đơn vị tiền tệ,Số lượng,Đã trả hàng hoặc hoàn tiền đầy đủ,Phương thức thanh toán,Trạng thái đơn hàng,Cơ sở hoa hồng ước tính,Cơ sở hoa hồng thực tế,Tỷ lệ hoa hồng (%),Thanh toán hoa hồng ước tính,Thanh toán hoa hồng thực tế,Tỷ lệ hoa hồng Quảng cáo cửa hàng,Thanh toán hoa hồng Quảng cáo cửa hàng ước tính,Thanh toán hoa hồng Quảng cáo cửa hàng thực tế,Mã ID chiến dịch đối tác,ID Đối tác liên kết,Tên Đối tác liên kết,Tỷ lệ hoa hồng của Đối tác liên kết,Hoa hồng ước tính cho Đối tác liên kết,Hoa hồng thực tế cho Đối tác liên kết,Thời gian đã tạo,Thời gian thanh toán,Order Delivery Time,Thời gian hoa hồng đã thanh toán,Platform
583533940271776977,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749140957404,166731,166731,VND,1,Không,Thanh toán khi giao hàng,Khách hàng chưa thanh toán,166731,,,,,12%,20008,,7442265916282701623,8648604627220204294,SONNET,,,,14/04/2026 22:20:47,01/01/1970 08:00:00,01/01/1970 08:00:00,01/01/1970 08:00:00,TTS
583523967159010343,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141219548,151199,151199,VND,1,Không,Thanh toán khi giao hàng,Khách hàng chưa thanh toán,151199,,,,,,,,7442265916282701623,8648604627220204294,SONNET,12%,18144,,14/04/2026 08:56:34,01/01/1970 08:00:00,01/01/1970 08:00:00,01/01/1970 08:00:00,TTS
583522959624668160,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749140957404,166731,166731,VND,1,Không,Thanh toán khi giao hàng,Chờ xử lý,166731,,,,,5%,8337,,7600974001888790292,8648654774975564550,PTG,,,,14/04/2026 07:11:02,15/04/2026 17:49:45,15/04/2026 17:49:45,01/01/1970 08:00:00,TTS
583521191157400826,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141219548,167999,167999,VND,1,Không,Thanh toán khi giao hàng,Chờ xử lý,167999,,,,,5%,8400,,7600974001888790292,8648654774975564550,PTG,,,,14/04/2026 00:13:38,15/04/2026 11:06:31,15/04/2026 11:06:31,01/01/1970 08:00:00,TTS
583518799504180589,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141285084,167999,167999,VND,1,Không,Thanh toán khi giao hàng,Chờ xử lý,167999,,,,,5%,8400,,7600974001888790292,8648654774975564550,PTG,,,,13/04/2026 20:45:06,15/04/2026 20:40:57,15/04/2026 20:40:57,01/01/1970 08:00:00,TTS
583513573591844076,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141219548,167999,167999,VND,1,Không,Thanh toán khi giao hàng,Khách hàng chưa thanh toán,167999,,,,,5%,8400,,7600974001888790292,8648654774975564550,PTG,,,,13/04/2026 13:34:58,01/01/1970 08:00:00,01/01/1970 08:00:00,01/01/1970 08:00:00,TTS
583503979952899804,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141219548,179100,179100,VND,1,Không,Thanh toán khi giao hàng,Khách hàng chưa thanh toán,179100,,,,,5%,8955,,7600974001888790292,8648654774975564550,PTG,,,,12/04/2026 19:33:50,01/01/1970 08:00:00,01/01/1970 08:00:00,01/01/1970 08:00:00,TTS
583503348048234106,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749140957404,166731,166731,VND,1,Không,Thanh toán khi giao hàng,Không đủ điều kiện,166731,,,,,,,,7442265916282701623,8648604627220204294,SONNET,12%,20008,,12/04/2026 18:46:21,01/01/1970 08:00:00,01/01/1970 08:00:00,01/01/1970 08:00:00,TTS
583493809844094108,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141154012,179100,179100,VND,1,Không,Không áp dụng thanh toán khi giao hàng,Chờ xử lý,179100,,,,,,,,7442265916282701623,8648604627220204294,SONNET,12%,21492,,12/04/2026 01:30:02,12/04/2026 01:30:08,14/04/2026 09:48:51,01/01/1970 08:00:00,TTS
583468927440880685,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141022940,139100,139100,VND,1,Không,Không áp dụng thanh toán khi giao hàng,Đã quyết toán,139100,139100,,,,,,,7442265916282701623,8648604627220204294,SONNET,12%,16692,16692,10/04/2026 10:37:20,10/04/2026 10:37:26,11/04/2026 09:10:48,14/04/2026 12:56:28,TTS
583465111474701710,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749140957404,179100,179100,VND,1,Không,Thanh toán khi giao hàng,Đã quyết toán,179100,179100,,,,5%,8955,8955,7600974001888790292,8648654774975564550,PTG,,,,10/04/2026 01:25:04,11/04/2026 21:10:47,11/04/2026 21:10:47,14/04/2026 09:32:44,TTS
583385315797599658,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141154012,175120,175120,VND,1,Không,Không áp dụng thanh toán khi giao hàng,Đã quyết toán,175120,175120,,,,12%,21014,21014,7442265916282701623,8648604627220204294,SONNET,,,,04/04/2026 19:19:49,04/04/2026 19:19:55,07/04/2026 10:05:40,10/04/2026 10:09:37,TTS
583385315797599658,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749140957404,175120,175120,VND,1,Không,Không áp dụng thanh toán khi giao hàng,Đã quyết toán,175120,175120,,,,12%,21014,21014,7442265916282701623,8648604627220204294,SONNET,,,,04/04/2026 19:19:49,04/04/2026 19:19:55,07/04/2026 10:05:40,10/04/2026 10:09:37,TTS
583382200685725103,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141219548,173130,173130,VND,1,Không,Thanh toán khi giao hàng,Đã quyết toán,173130,173130,,,,,,,7442265916282701623,8648604627220204294,SONNET,12%,20776,20776,04/04/2026 15:25:42,05/04/2026 18:06:37,05/04/2026 18:06:37,08/04/2026 10:23:44,TTS
583378958152140218,1731894551881550044,"[Deal Live Mua 1 Tặng 1] Sữa Tắm Pháp Le Petit Marseillais Hoa Anh Đào Hữu Cơ 650ml - Sữa Tắm Lưu Hương Lành Tính - Dịu Nhẹ, An Toàn Cho Da [ Quà tặng date 10/0206 ]",1731894551881681116,329120,329120,VND,1,Không,Thanh toán khi giao hàng,Đã quyết toán,329120,329120,,,,,,,7516417132218861313,8650094773901690641,Riviu-MCN,15%,49368,49368,04/04/2026 11:50:05,06/04/2026 18:12:20,06/04/2026 18:12:20,09/04/2026 09:53:05,TTS
583373642208544757,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141219548,183080,197611,VND,1,Không,Không áp dụng thanh toán khi giao hàng,Đã quyết toán,183080,183080,,,,,,,7442265916282701623,8648604627220204294,SONNET,12%,21970,21970,04/04/2026 01:03:40,04/04/2026 01:03:44,06/04/2026 08:59:39,09/04/2026 08:12:46,TTS
583373626456442869,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141219548,183080,197157,VND,1,Không,Không áp dụng thanh toán khi giao hàng,Không đủ điều kiện,183080,0,,,,,,,7442265916282701623,8648604627220204294,SONNET,12%,21970,0,04/04/2026 00:57:56,04/04/2026 00:58:02,01/01/1970 08:00:00,01/01/1970 08:00:00,TTS
583363823341765758,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141154012,179100,179100,VND,1,Không,Không áp dụng thanh toán khi giao hàng,Đã quyết toán,179100,179100,,,,,,,7600974001888790292,8648654774975564550,PTG,15%,26865,26865,03/04/2026 12:54:48,03/04/2026 12:54:51,04/04/2026 10:28:15,07/04/2026 10:14:19,TTS
583359872540640784,1731894551881550044,"[Deal Live Mua 1 Tặng 1] Sữa Tắm Pháp Le Petit Marseillais Hoa Anh Đào Hữu Cơ 650ml - Sữa Tắm Lưu Hương Lành Tính - Dịu Nhẹ, An Toàn Cho Da [ Quà tặng date 10/0206 ]",1731894551881681116,296208,296208,VND,1,Không,Thanh toán khi giao hàng,Đã quyết toán,296208,296208,,,,,,,7516417132218861313,8650094773901690641,Riviu-MCN,15%,44431,44431,03/04/2026 08:07:03,04/04/2026 10:09:33,04/04/2026 10:09:33,07/04/2026 08:36:49,TTS
583353111174612677,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141219548,162981,162981,VND,1,Không,Không áp dụng thanh toán khi giao hàng,Đã quyết toán,162981,162981,,,,12%,19558,19558,7442265916282701623,8648604627220204294,SONNET,,,,02/04/2026 19:04:13,02/04/2026 19:04:19,06/04/2026 08:43:36,09/04/2026 08:14:44,TTS
583352896202311040,1732251815880067292,"Sữa Tắm Pháp Le Petit Marseillais Cho Nam Chiết Xuất Thiên Nhiên 4in1 Nhiều Mùi Hương Dưỡng Ẩm, Thơm Lâu - Phù Hợp Mọi Loại Da (250ml)",1732251749141285084,179100,184800,VND,1,Không,Thanh toán khi giao hàng,Đã quyết toán,179100,179100,,,,,,,7600974001888790292,8648654774975564550,PTG,15%,26865,26865,02/04/2026 18:45:22,06/04/2026 21:33:53,06/04/2026 21:33:53,09/04/2026 07:45:18,TTS
